Course Number	Course Title	Number of hours	Course Status	Prerequisite	Course Average	Course Result
20251	History of Science	3				
20252	Arab Islamic Scientific Heritage	3				
31100	Sports and Health	3				
31152	Arabic Islamic Civilization	3				
31161	Introduction to Library Science	3				
31211	Arabic Literature	3		Prerequisite: Arabic Language		
31252	Governance and Development	3				
31261	Introduction to Politics and Economic Science	3				
31262	Introduction to Educational Science	3				
31271	Environmental Science	3				
31351	Contemporary Issues in the Arab World	3				
31352	Jerusalem : History and Facts	3				
31361	Introduction to Philosophy	3				
31371	Health Education	3	
